Company Name,Total Sales Value,Houses Sold,Estimated Subsidy
Persimmon Homes Limited,411021714,2308,77408000
Taylor Wimpey UK Limited,314112426,1673,57293000
BDW Trading Limited,309172075,1578,54816000
Bellway Homes Limited,154477189,852,29538000
Miller Homes Limited,128788055,657,22601000
Springfield Properties PLC,77855185,415,14637000
Tulloch Homes Limited,56774245,298,10499000
Stewart Milne Group Limited,57460952,262,9351000
Avant Homes (Scotland) Limited,44529885,267,8991000
Dundas Estates & Development Co. Limited,35337820,187,6523000
Scotia Homes Limited,36353085,169,5806000
Cruden Homes Group,31063299,177,5747000
Ogilvie Homes Limited,25653675,155,5098000
Muir Homes Limited,27748894,144,5087000
Walker Group (Scotland) Limited,32242879,140,4968000
Robertson Homes Limited,26731910,126,4656000
City Legacy Limited,16730785,112,4234000
Kier Homes Caledonia Limited,19643450,113,3931000
Mactaggart & Mickel Homes Limited,23677355,108,3807000
CALA Management Limited,23563395,98,3625000
Dawn Homes Limited,19703135,93,3402000
Freedom Homes (Stirling) Limited,16647930,93,3380000
Charles Church Developments Limited,18596075,70,2594000
Story Homes Limited,14064753,75,2531000
Allan Water Developments Limited,13325525,71,2368000